Sample,FGA,Purity-FGA,Staging-FGA,Subtyping-FGA,Staging-Purity-FGA,Subtyping-Purity-FGA,Subtyping-Staging-FGA,Subtyping-Staging-Purity-FGA
263,0.192,0.101,0.24,0.197,0.121,0.346,0.129,0.22
264,0.275,0.262,0.305,0.298,0.258,0.434,0.184,0.18
265,0.208,0.177,0.237,0.201,0.251,0.169,0.296,0.319
266,0.105,0.003,0.101,0.025,0.115,0.056,0.168,0.058
267,0.127,0.161,0.152,0.11,0.22,0.016,0.282,0.104
268,0.227,0.223,0.25,0.191,0.211,0.246,0.199,0.353
269,0.116,0.146,0.201,0.058,0.217,0.082,0.248,0.015
270,0.082,0.099,0.12,0.17,0.138,0.319,0.278,0.003
271,0.069,0.066,0.077,0.09,0.025,0.205,0.022,0.036
272,0.072,0.106,0.115,0.1,0.127,0.274,0.448,0.066
273,0.159,0.091,0.173,0.049,0.088,0.234,0.021,0.173
274,0.246,0.249,0.248,0.178,0.254,0.346,0.275,0.104
275,0.066,0.075,0.021,0.075,0.062,0.047,0.023,0.15
276,0.179,0.072,0.192,0.027,0.145,0.168,0.217,0.087
277,0.107,0.119,0.129,0.116,0.142,0.317,0.107,0.056
278,0.015,0.015,0.017,0.078,0.031,0.254,0.096,0.209
279,0.066,0.065,0.021,0.079,0.026,0.277,0.068,0.13
280,0.035,0.031,0.09,0.092,0.022,0.234,0.154,0.023
281,0.161,0.099,0.194,0.005,0.242,0.273,0.251,0.083
282,0.029,0.058,0.053,0.031,0.066,0.149,0.101,0.041
283,0.2,0.251,0.207,0.159,0.289,0.055,0.403,0.068
284,0.251,0.192,0.292,0.252,0.167,0.457,0.088,0.33
285,0.109,0.102,0.077,0.027,0.027,0.146,0.037,0.018
286,0.31,0.292,0.305,0.293,0.275,0.115,0.35,0.155
287,0.094,0.101,0.112,0.048,0.029,0.181,0.415,0.094
288,0.621,0.592,0.654,0.513,0.581,0.797,0.451,0.77
289,0.385,0.299,0.395,0.241,0.261,0.109,0.204,0.034
290,0.42,0.468,0.34,0.243,0.369,0.219,0.08,0.188
291,0.109,0.138,0.117,0.087,0.122,0.08,0.143,0.118
292,0.073,0.142,0.114,0.073,0.179,0.091,0.305,0.023
293,0.05,0.079,0.03,0.089,0.02,0.161,0.063,0.049
294,0.338,0.357,0.335,0.359,0.303,0.319,0.331,0.4
295,0.032,0.099,0.074,0.079,0.215,0.044,0.444,0.003
296,0.605,0.448,0.527,0.363,0.482,0.315,0.533,0.663
297,0.027,0.087,0.006,0.048,0.077,0.113,0.085,0.103
298,0.198,0.125,0.22,0.164,0.144,0.246,0.144,0.054
299,0.284,0.329,0.263,0.248,0.346,0.326,0.281,0.187
300,0.087,0.017,0.125,0.272,0.067,0.22,0.178,0.222
301,0.149,0.148,0.121,0.203,0.153,0.435,0.252,0.04
302,0.023,0.022,0.086,0.038,0.003,0.022,0.069,0.092
303,0.236,0.234,0.244,0.185,0.145,0.029,0.268,0.075
304,0.079,0.011,0.094,0.072,0.052,0.164,0.359,0.225
305,0.225,0.291,0.176,0.336,0.371,0.378,0.24,0.369
306,0.02,0.02,0.017,0.102,0.023,0.179,0.056,0.062
307,0.295,0.255,0.246,0.253,0.235,0.217,0.13,0.241
308,0.07,0.087,0.101,0.024,0.006,0.108,0.006,0.062
309,0.045,0.12,0.025,0.026,0.161,0.13,0.197,0.086
310,0.159,0.179,0.227,0.169,0.126,0.106,0.216,0.008
