Sample,Purity,Purity-FGA,Staging-Purity,Subtyping-Purity,Staging-Purity-FGA,Subtyping-Purity-FGA,Subtyping-Staging-Purity,Subtyping-Staging-Purity-FGA
274,0.401,0.401,0.352,0.607,0.35,0.322,0.507,0.54
275,0.013,0.008,0.046,0.102,0.152,0.02,0.034,0.105
276,0.04,0.031,0.036,0.164,0.013,0.071,0.046,0.155
277,0.193,0.109,0.289,0.007,0.329,0.166,0.064,0.041
278,0.012,0.054,0.025,0.135,0.003,0.068,0.02,0.116
279,0.189,0.183,0.219,0.389,0.097,0.279,0.408,0.33
280,0.081,0.088,0.028,0.238,0.0,0.105,0.341,0.16
281,0.164,0.197,0.085,0.127,0.102,0.117,0.069,0.062
282,0.249,0.231,0.119,0.192,0.294,0.081,0.317,0.244
283,0.248,0.229,0.248,0.004,0.342,0.161,0.052,0.184
284,0.368,0.359,0.372,0.263,0.41,0.289,0.365,0.21
285,0.106,0.187,0.187,0.36,0.175,0.241,0.191,0.364
286,0.128,0.224,0.23,0.219,0.224,0.178,0.163,0.415
287,0.048,0.017,0.052,0.176,0.087,0.039,0.035,0.016
288,0.116,0.122,0.051,0.05,0.007,0.064,0.116,0.25
289,0.184,0.159,0.143,0.297,0.24,0.206,0.34,0.196
290,0.481,0.421,0.381,0.414,0.542,0.298,0.46,0.323
291,0.051,0.072,0.002,0.153,0.041,0.065,0.048,0.129
292,0.021,0.151,0.173,0.283,0.261,0.028,0.266,0.105
293,0.119,0.057,0.148,0.058,0.136,0.02,0.045,0.083
294,0.201,0.227,0.185,0.149,0.252,0.175,0.156,0.178
295,0.123,0.176,0.348,0.234,0.256,0.275,0.159,0.403
296,0.084,0.072,0.098,0.134,0.025,0.106,0.136,0.209
297,0.419,0.379,0.28,0.206,0.436,0.243,0.288,0.437
298,0.008,0.008,0.077,0.069,0.079,0.048,0.166,0.021
299,0.034,0.006,0.046,0.046,0.145,0.029,0.057,0.184
300,0.067,0.081,0.107,0.088,0.139,0.13,0.161,0.018
301,0.296,0.364,0.216,0.226,0.356,0.267,0.314,0.17
302,0.11,0.097,0.004,0.214,0.167,0.013,0.174,0.035
303,0.282,0.233,0.136,0.277,0.349,0.229,0.344,0.189
304,0.124,0.048,0.12,0.052,0.135,0.106,0.048,0.011
305,0.008,0.031,0.088,0.131,0.103,0.002,0.119,0.076
306,0.314,0.282,0.23,0.46,0.243,0.239,0.363,0.416
307,0.04,0.091,0.117,0.271,0.019,0.242,0.341,0.183
308,0.215,0.184,0.087,0.068,0.344,0.088,0.191,0.281
309,0.143,0.05,0.039,0.07,0.078,0.093,0.076,0.305
310,0.098,0.198,0.177,0.183,0.135,0.165,0.251,0.261
311,0.257,0.266,0.107,0.259,0.227,0.211,0.335,0.285
312,0.064,0.116,0.268,0.246,0.121,0.142,0.098,0.409
313,0.117,0.053,0.092,0.35,0.034,0.053,0.341,0.17
314,0.153,0.159,0.235,0.124,0.086,0.252,0.067,0.241
315,0.147,0.14,0.165,0.202,0.286,0.146,0.303,0.11
316,0.147,0.127,0.14,0.116,0.305,0.146,0.224,0.038
317,0.055,0.11,0.059,0.142,0.0,0.121,0.161,0.068
318,0.034,0.04,0.013,0.151,0.016,0.014,0.003,0.279
319,0.068,0.017,0.208,0.038,0.088,0.135,0.043,0.052
320,0.521,0.479,0.267,0.24,0.531,0.254,0.518,0.369
321,0.128,0.124,0.084,0.131,0.159,0.126,0.002,0.028
322,0.089,0.192,0.199,0.21,0.151,0.133,0.039,0.184
323,0.162,0.102,0.068,0.115,0.053,0.109,0.175,0.142
324,0.335,0.288,0.356,0.189,0.261,0.288,0.333,0.286
325,0.001,0.029,0.07,0.068,0.092,0.097,0.022,0.017
326,0.061,0.064,0.029,0.108,0.083,0.006,0.029,0.002
327,0.229,0.221,0.178,0.141,0.299,0.247,0.201,0.034
328,0.345,0.263,0.358,0.166,0.202,0.206,0.026,0.119
329,0.261,0.258,0.269,0.152,0.349,0.161,0.11,0.074
330,0.126,0.159,0.165,0.216,0.103,0.179,0.198,0.288
331,0.083,0.114,0.223,0.136,0.145,0.293,0.403,0.307
332,0.071,0.201,0.314,0.225,0.186,0.19,0.068,0.367
333,0.276,0.254,0.171,0.158,0.258,0.271,0.317,0.034
334,0.073,0.1,0.073,0.026,0.11,0.08,0.127,0.15
335,0.002,0.016,0.032,0.273,0.016,0.033,0.021,0.155
336,0.134,0.195,0.241,0.253,0.219,0.154,0.297,0.31
337,0.007,0.003,0.058,0.139,0.052,0.007,0.015,0.13
338,0.035,0.052,0.188,0.031,0.045,0.102,0.065,0.04
339,0.268,0.189,0.19,0.109,0.292,0.223,0.076,0.111
340,0.038,0.069,0.039,0.174,0.051,0.087,0.164,0.291
341,0.019,0.121,0.165,0.067,0.104,0.024,0.059,0.207
342,0.18,0.214,0.08,0.226,0.006,0.129,0.218,0.228
343,0.011,0.031,0.005,0.058,0.082,0.001,0.07,0.041
344,0.059,0.011,0.099,0.345,0.101,0.077,0.181,0.243
345,0.742,0.681,0.635,0.555,0.642,0.631,0.654,0.789
346,0.165,0.3,0.4,0.237,0.269,0.209,0.196,0.457
347,0.082,0.172,0.214,0.085,0.1,0.189,0.007,0.391
348,0.052,0.132,0.042,0.1,0.045,0.067,0.012,0.188
349,0.263,0.307,0.219,0.062,0.072,0.221,0.016,0.225
350,0.064,0.109,0.143,0.119,0.105,0.053,0.208,0.372
351,0.079,0.045,0.066,0.003,0.044,0.044,0.0,0.125
352,0.155,0.255,0.266,0.231,0.086,0.234,0.128,0.361
353,0.051,0.048,0.108,0.127,0.044,0.061,0.096,0.238
354,0.352,0.337,0.289,0.202,0.37,0.322,0.314,0.201
355,0.197,0.22,0.312,0.444,0.216,0.388,0.429,0.372
356,0.304,0.335,0.224,0.272,0.243,0.379,0.268,0.446
357,0.126,0.067,0.012,0.082,0.119,0.056,0.131,0.085
358,0.101,0.132,0.253,0.082,0.226,0.125,0.182,0.261
359,0.187,0.081,0.076,0.306,0.123,0.13,0.179,0.261
360,0.061,0.029,0.004,0.001,0.142,0.007,0.04,0.176
361,0.033,0.015,0.09,0.252,0.03,0.065,0.054,0.207
362,0.037,0.05,0.089,0.162,0.074,0.122,0.146,0.322
363,0.047,0.015,0.02,0.058,0.159,0.011,0.065,0.012
364,0.163,0.135,0.06,0.267,0.245,0.127,0.431,0.108
365,0.069,0.152,0.074,0.264,0.03,0.212,0.327,0.43
366,0.07,0.014,0.012,0.17,0.092,0.038,0.113,0.056
367,0.326,0.287,0.227,0.003,0.371,0.194,0.105,0.175
368,0.092,0.009,0.011,0.118,0.059,0.083,0.173,0.118
369,0.101,0.054,0.022,0.032,0.11,0.028,0.027,0.245
370,0.025,0.039,0.018,0.188,0.062,0.059,0.016,0.183
371,0.026,0.068,0.089,0.082,0.013,0.02,0.101,0.135
372,0.133,0.171,0.138,0.102,0.247,0.17,0.092,0.161
373,0.359,0.389,0.411,0.347,0.283,0.394,0.349,0.553
374,0.062,0.149,0.173,0.264,0.27,0.167,0.022,0.122
375,0.182,0.234,0.274,0.281,0.302,0.249,0.111,0.056
376,0.762,0.674,0.67,0.493,0.722,0.589,0.503,0.691
377,0.049,0.003,0.087,0.124,0.006,0.016,0.041,0.016
378,0.385,0.298,0.397,0.2,0.245,0.424,0.071,0.439
379,0.071,0.132,0.086,0.283,0.016,0.19,0.19,0.11
380,0.191,0.218,0.23,0.347,0.121,0.264,0.353,0.098
381,0.074,0.002,0.039,0.074,0.12,0.008,0.034,0.061
382,0.048,0.093,0.125,0.239,0.087,0.085,0.089,0.236
383,0.121,0.07,0.041,0.188,0.043,0.141,0.19,0.004
384,0.033,0.001,0.033,0.247,0.031,0.024,0.208,0.326
385,0.175,0.23,0.199,0.197,0.166,0.265,0.241,0.356
386,0.196,0.19,0.193,0.109,0.295,0.181,0.252,0.02
387,0.309,0.216,0.123,0.063,0.201,0.131,0.113,0.034
388,0.211,0.191,0.232,0.272,0.277,0.267,0.004,0.089
389,0.03,0.019,0.054,0.053,0.031,0.182,0.035,0.194
390,0.208,0.239,0.293,0.331,0.198,0.311,0.199,0.45
391,0.14,0.156,0.094,0.045,0.168,0.06,0.075,0.034
392,0.181,0.132,0.029,0.205,0.151,0.056,0.116,0.125
393,0.017,0.029,0.05,0.021,0.042,0.019,0.136,0.182
394,0.04,0.008,0.08,0.001,0.101,0.073,0.131,0.113
395,0.131,0.189,0.305,0.291,0.111,0.142,0.156,0.233
396,0.048,0.113,0.176,0.13,0.049,0.128,0.009,0.088
397,0.055,0.009,0.043,0.021,0.157,0.023,0.061,0.055
